SANTA ROSA,95402,38.440061,-122.710598,Sonoma,954,1
SANTA ROSA,95403,38.477043,-122.810328,Sonoma,954,1
SANTA ROSA,95404,38.452642,-122.656296,Sonoma,954,1
SANTA ROSA,95405,38.444714,-122.786392,Sonoma,954,1
SANTA ROSA,95406,38.459575,-122.715654,Sonoma,954,1
SANTA ROSA,95407,38.389113,-122.741849,Sonoma,954,1
SANTA ROSA,95408,38.463088,-122.989975,Sonoma,954,1
SANTA ROSA,95409,38.462575,-122.626545,Sonoma,954,1
SEBASTOPOL,95472,38.407222,-122.869654,Sonoma,954,1
SEBASTOPOL,95473,38.325851,-122.505846,Sonoma,954,1
SONOMA,95476,38.255943,-122.476819,Sonoma,954,1
STEWARTS POINT,95480,38.676694,-123.372059,Sonoma,954,1
THE SEA RANCH,95497,38.717318,-123.463976,Sonoma,954,1
VALLEY FORD,94972,38.307224,-122.855757,Sonoma,949,1
VILLA GRANDE,95486,38.464487,-123.037996,Sonoma,954,1
VINEBURG,95487,38.463088,-122.989975,Sonoma,954,1
WINDSOR,95492,38.532827,-122.8041,Sonoma,954,1
ANGWIN,94508,38.57145,-122.450215,Napa,945,1
CALISTOGA,94515,38.615055,-122.507742,Napa,945,1
DEER PARK,94576,38.450909,-122.444889,Napa,945,1
NAPA,94558,38.516158,-122.311921,Napa,945,1
NAPA,94559,38.256973,-122.311685,Napa,945,1
NAPA,94581,38.509569,-122.3539,Napa,945,1
OAKVILLE,94562,38.437887,-122.399101,Napa,945,1
POPE VALLEY,94567,38.649304,-122.44529,Napa,945,1
RUTHERFORD,94573,38.466508,-122.414189,Napa,945,1
SAINT HELENA,94574,38.537757,-122.401289,Napa,945,1
YOUNTVILLE,94599,38.41611,-122.361587,Napa,945,1
SAN FRANCISCO,94101,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94102,37.779278,-122.416582,San Francisco,941,3
SAN FRANCISCO,94103,37.775678,-122.412131,San Francisco,941,3
SAN FRANCISCO,94104,37.790728,-122.401732,San Francisco,941,3
SAN FRANCISCO,94105,37.789595,-122.395631,San Francisco,941,3
SAN FRANCISCO,94106,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94107,37.769029,-122.393681,San Francisco,941,3
SAN FRANCISCO,94108,37.791028,-122.408782,San Francisco,941,3
SAN FRANCISCO,94109,37.795219,-122.420782,San Francisco,941,3
SAN FRANCISCO,94110,37.748932,-122.416281,San Francisco,941,3
SAN FRANCISCO,94111,37.773579,-122.405331,San Francisco,941,3
SAN FRANCISCO,94112,37.721981,-122.439382,San Francisco,941,3
SAN FRANCISCO,94114,37.758279,-122.439332,San Francisco,941,3
SAN FRANCISCO,94115,37.786028,-122.437032,San Francisco,941,3
SAN FRANCISCO,94116,37.743857,-122.483232,San Francisco,941,3
SAN FRANCISCO,94117,37.769079,-122.443882,San Francisco,941,3
SAN FRANCISCO,94118,37.778779,-122.459982,San Francisco,941,3
SAN FRANCISCO,94119,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94120,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94121,37.777129,-122.491682,San Francisco,941,3
SAN FRANCISCO,94122,37.761179,-122.475732,San Francisco,941,3
SAN FRANCISCO,94123,37.79967,-122.435732,San Francisco,941,3
SAN FRANCISCO,94124,37.73123,-122.382857,San Francisco,941,3
SAN FRANCISCO,94125,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94126,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94127,37.73403,-122.458632,San Francisco,941,3
SAN FRANCISCO,94129,37.798878,-122.465682,San Francisco,941,3
SAN FRANCISCO,94130,37.819763,-122.368433,San Francisco,941,3
SAN FRANCISCO,94131,37.74363,-122.443182,San Francisco,941,3
SAN FRANCISCO,94132,37.722631,-122.482483,San Francisco,941,3
SAN FRANCISCO,94133,37.801928,-122.410182,San Francisco,941,3
SAN FRANCISCO,94134,37.72168,-122.410832,San Francisco,941,3
SAN FRANCISCO,94135,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94136,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94137,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94138,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94139,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94140,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94141,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94142,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94143,37.76313,-122.458582,San Francisco,941,3
SAN FRANCISCO,94144,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94145,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94146,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94147,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94150,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94151,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94152,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94153,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94154,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94155,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94156,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94157,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94159,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94160,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94161,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94162,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94163,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94164,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94165,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94166,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94167,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94168,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94169,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94170,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94171,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94172,37.784827,-122.727802,San Francisco,941,3
SAN FRANCISCO,94175,37.784827,-122.727802,San Francisco,941,3
